/////	--LOCALE TABLE GENERATED BY TempResearchCombiner.py--
//	--        UPGRADES        --
filerange 15934 17093
rangestart 15934 17093
/////	--        HIIGARAN        --
16195	1/3 Marine Capture
16196	<b>Effect</b>\n<c=41af41>+10% capture speed</c>\n<c=9d9ddf>Cost: 750 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division</c>
16197	Capture Speed: Level 2
16198	2/3 Marine Capture
16199	<b>Effect</b>\n<c=41af41>+10% capture speed</c>\n<c=9d9ddf>Cost: 1500 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division</c>
16200	Capture Speed: Level 3
16201	3/3 Marine Capture
16202	<b>Effect</b>\n<c=41af41>+10% capture speed</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nEngineering Division</c>
16203	Defense Shield Recharge: Level 1
16204	Platform Def Shield Recharge+
16205	<b>Effect</b>\n<c=41af41>+50% capacitor recharge rate</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 65 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division</c>
16206	Field Frig Shield Recharge+
16207	<b>Effect</b>\n<c=41af41>+50% shield recharge rate</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 65 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division</c>
16208	Defense Shield Duration: Level 1
16209	Platform Def Shield Duration+
16210	<b>Effect</b>\n<c=41af41>+50% shield duration</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division</c>
16211	Field Frig Shield Duration+
16212	<b>Effect</b>\n<c=41af41>+50% shield duration</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division</c>
16213	Energy Reserves: Level 1
16214	Def Shld Power+
16215	<b>Effect</b>\n<c=41af41>+25% shield power</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division</c>
16216	Destructive Power: Level 1
16217	1/3 Ripwave Power
16218	<b>Effect</b>\n<c=41af41>+25% destructive power</c>\n<c=9d9ddf>Cost: 7500 RUs\nTime: 150 s</c>\n<b>Requires:</b>\n<c=e7bd59>Defense Facility\nEngineering Division</c>
16219	Destructive Power: Level 2
16220	2/3 Ripwave Power
16221	<b>Effect</b>\n<c=41af41>+50% destructive power</c>\n<c=9d9ddf>Cost: 15000 RUs\nTime: 300 s</c>\n<b>Requires:</b>\n<c=e7bd59>Defense Facility\nEngineering Division</c>
16222	Destructive Power: Level 3
16223	3/3 Ripwave Power
16224	<b>Effect</b>\n<c=41af41>+110% destructive power</c>\n<c=9d9ddf>Cost: 30000 RUs\nTime: 600 s</c>\n<b>Requires:</b>\n<c=e7bd59>Defense Facility\nEngineering Division</c>
16225	Destructive Range: Level 1
16226	1/3 Ripwave Range
16227	<b>Effect</b>\n<c=41af41>+15% destructive range</c>\n<c=9d9ddf>Cost: 7500 RUs\nTime: 150 s</c>\n<b>Requires:</b>\n<c=e7bd59>Defense Facility\nEngineering Division</c>
16228	Destructive Range: Level 2
16229	2/3 Ripwave Range
16230	<b>Effect</b>\n<c=41af41>+15% destructive range</c>\n<c=9d9ddf>Cost: 15000 RUs\nTime: 300 s</c>\n<b>Requires:</b>\n<c=e7bd59>Defense Facility\nEngineering Division</c>
16231	Destructive Range: Level 3
16232	3/3 Ripwave Range
16233	<b>Effect</b>\n<c=41af41>+20% destructive range</c>\n<c=9d9ddf>Cost: 30000 RUs\nTime: 600 s</c>\n<b>Requires:</b>\n<c=e7bd59>Defense Facility\nEngineering Division</c>
16234	Drive: Level 1
16235	1/3 Capital Drive
16236	<b>Effect</b>\n<c=41af41>+4% Capital drive</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nResearch Division\nDrive System</c>
16237	Drive: Level 2
16238	2/3 Capital Drive
16239	<b>Effect</b>\n<c=41af41>+4% Capital drive</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 135 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nDrive System</c>
16240	Drive: Level 3
16241	3/3 Capital Drive
16242	<b>Effect</b>\n<c=41af41>+4% Capital drive</c>\n<c=9d9ddf>Cost: 3600 RUs\nTime: 180 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nEngineering Division\nDrive System</c>
16246	Weapon Damage: Level 1
16247	1/3 Capital Damage
16248	<b>Effect</b>\n<c=41af41>+20% Capital weapon damage</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nResearch Division\nFire Control Tower</c>
16249	Weapon Damage: Level 2
16250	2/3 Capital Damage
16251	<b>Effect</b>\n<c=41af41>+20% Capital weapon damage</c>\n<c=9d9ddf>Cost: 2400 RUs\nTime: 180 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nFire Control Tower</c>
16252	Weapon Damage: Level 3
16253	3/3 Capital Damage
16254	<b>Effect</b>\n<c=41af41>+20% Capital weapon damage</c>\n<c=9d9ddf>Cost: 4800 RUs\nTime: 240 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nEngineering Division\nFire Control Tower</c>
16255	Docking: Level 1
16256	1/3 Capital Docking
16257	<b>Effect</b>\n<c=41af41>+200% repair dock rate</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nScience Division\nRepair System</c>
16258	Docking: Level 2
16259	2/3 Capital Docking
16260	<b>Effect</b>\n<c=41af41>+200% repair dock rate</c>\n<c=9d9ddf>Cost: 2800 RUs\nTime: 210 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nScience Division\nRepair System</c>
16261	Docking: Level 3
16262	3/3 Capital Docking
16263	<b>Effect</b>\n<c=41af41>+200% repair dock rate</c>\n<c=9d9ddf>Cost: 5600 RUs\nTime: 280 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nEngineering Division\nRepair System</c>
16264	Improved Manufacturing: Level 1
16265	1/3 Capital Build
16266	<b>Effect</b>\n<c=41af41>+25% construction rate</c>\n<c=9d9ddf>Cost: 1500 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nRepair System</c>
16267	Improved Manufacturing: Level 2
16268	2/3 Capital Build
16269	<b>Effect</b>\n<c=41af41>+25% construction rate</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 75 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nRepair System</c>
16270	Improved Manufacturing: Level 3
16271	3/3 Capital Build
16272	<b>Effect</b>\n<c=41af41>+25% construction rate</c>\n<c=9d9ddf>Cost: 6000 RUs\nTime: 100 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nEngineering Division\nRepair System</c>
16273	Ablative Shield Power: Level 1
16274	1/3 Def Field Power
16275	<b>Effect</b>\n<c=41af41>+20% defense field power</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Field</c>
16276	Ablative Shield Power: Level 2
16277	2/3 Def Field Power
16278	<b>Effect</b>\n<c=41af41>+20% defense field power</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Field</c>
16279	Ablative Shield Power: Level 3
16280	3/3 Def Field Power
16281	<b>Effect</b>\n<c=41af41>+20% defense field power</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Field</c>
16282	Ablative Shield Recharge: Level 1
16283	1/3 MS Abl Shld Recharge
16284	<b>Effect</b>\n<c=41af41>+25% Ablative Shield Recharge rate</c>\n<c=9d9ddf>Cost: 1250 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Field</c>
16285	1/3 CF - Def Field Recharge
16286	<b>Effect</b>\n<c=41af41>+25% Ablative Shield Recharge rate</c>\n<c=9d9ddf>Cost: 1250 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Facility</c>
16287	Shuttle Field Recharge
16288	<b>Effect</b>\n<c=41af41>+50% shield recharge rate</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 65 s</c>\n<b>Requires:</b>\n<c=e7bd59>Super-Capital Facility\nScience Division</c>
16289	Ablative Shield Recharge: Level 2
16290	2/3 MS Abl Shld Recharge
16291	<b>Effect</b>\n<c=41af41>+25% Ablative Shield Recharge rate</c>\n<c=9d9ddf>Cost: 2500 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Field</c>
16292	2/3 CF - Def Field Recharge
16293	<b>Effect</b>\n<c=41af41>+25% Ablative Shield Recharge rate</c>\n<c=9d9ddf>Cost: 2500 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Facility</c>
16294	Ablative Shield Recharge: Level 3
16295	3/3 MS Abl Shld Recharge
16296	<b>Effect</b>\n<c=41af41>+25% Ablative Shield Recharge rate</c>\n<c=9d9ddf>Cost: 3750 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Field</c>
16297	3/3 CF - Def Field Recharge
16298	<b>Effect</b>\n<c=41af41>+25% Ablative Shield recharge rate</c>\n<c=9d9ddf>Cost: 3750 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Facility</c>
16299	Ablative Shield Duration: Level 1
16300	1/3 MS Abl Shld Duration
16301	<b>Effect</b>\n<c=41af41>+25% Ablative Shield duration</c>\n<c=9d9ddf>Cost: 1500 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Field</c>
16302	1/3 CF - Abl Shld Duration
16303	<b>Effect</b>\n<c=41af41>+25% Ablative Shield duration</c>\n<c=9d9ddf>Cost: 1500 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Facility</c>
16304	Shuttle Field Time
16305	<b>Effect</b>\n<c=41af41>+50% shield duration</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Super-Capital Facility\nScience Division</c>
16306	Ablative Shield Duration: Level 2
16307	2/3 MS Abl Shld Duration
16308	<b>Effect</b>\n<c=41af41>+25% Ablative Shield duration</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Field</c>
16309	2/3 CF - Abl Shld Duration
16310	<b>Effect</b>\n<c=41af41>+25% Ablative Shield duration</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Facility</c>
16311	Ablative Shield Duration: Level 3
16312	3/3 MS Abl Shld Duration
16313	<b>Effect</b>\n<c=41af41>+25% Ablative Shield duration</c>\n<c=9d9ddf>Cost: 4500 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Field</c>
16314	3/3 CF - Abl Shld Duration
16315	<b>Effect</b>\n<c=41af41>+25% Ablative Shield duration</c>\n<c=9d9ddf>Cost: 4500 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Facility</c>
16316	Permanent Shield Power: Level 1
16317	1/3 Permanent Shield Power
16318	<b>Effect</b>\n<c=41af41>+20% Shield power</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nPermanent Defense Shield</c>
16319	<b>Effect</b>\n<c=41af41>+20% Permanent Shield power</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nPermanent Defense Shield</c>
16320	Permanent Shield Power: Level 2
16321	2/3 Permanent Shield Power
16322	<b>Effect</b>\n<c=41af41>+20% Shield power</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nPermanent Defense Shield</c>
16323	<b>Effect</b>\n<c=41af41>+20% Permanent Shield power</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nPermanent Defense Shield</c>
16324	Permanent Shield Power: Level 3
16325	3/3 Permanent Shield Power
16326	<b>Effect</b>\n<c=41af41>+20% Shield power</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nPermanent Defense Shield</c>
16327	<b>Effect</b>\n<c=41af41>+20% Permanent Shield power</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nPermanent Defense Shield</c>
16328	Tactical Ion Cannon Power: Level 1
16329	1/3 Heavy Ion Power
16330	<b>Effects</b>\n<c=41af41>+17% Damage\n+10% Range</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 180 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nFire Control Tower\nTactical Ion Cannon</c>
16331	Tactical Ion Cannon Power: Level 2
16332	2/3 Hvy Ion Power
16333	<b>Effects</b>\n<c=41af41>+17% Damage\n+8% Range</c>\n<c=9d9ddf>Cost: 6000 RUs\nTime: 270 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nFire Control Tower\nTactical Ion Cannon</c>
16334	Tactical Ion Cannon Power: Level 3
16335	3/3 Hvy Ion Power
16336	<b>Effects</b>\n<c=41af41>+17% Damage\n+7% Range</c>\n<c=9d9ddf>Cost: 9000 RUs\nTime: 360 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nFire Control Tower\nTactical Ion Cannon</c>
16337	Energy Production: Level 1
16338	1/3 Energy Production
16339	<b>Effect</b>\n<c=41af41>+25% Energy Production</c>\n<c=9d9ddf>Cost: 4000 RUs\nTime: 20 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division</c>
16340	Energy Production: Level 2
16341	2/3 Energy Production
16342	<b>Effect</b>\n<c=41af41>+25% Energy Production</c>\n<c=9d9ddf>Cost: 8000 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division</c>
16343	Energy Production: Level 3
16344	3/3 Energy Production
16345	<b>Effect</b>\n<c=41af41>+25% Energy Production</c>\n<c=9d9ddf>Cost: 16000 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division</c>
16346	Ripwave Power: Level 1
16347	1/3 Ripwave Power
16348	<b>Effect</b>\n<c=41af41>+25% ripwave resonance power</c>\n<c=9d9ddf>Cost: 5000 RUs\nTime: 100 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nScience Division</c>
16349	Ripwave Power: Level 2
16350	2/3 Ripwave Power
16351	<b>Effect</b>\n<c=41af41>+50% ripwave resonance power</c>\n<c=9d9ddf>Cost: 10000 RUs\nTime: 200 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nScience Division</c>
16352	Ripwave Power: Level 3
16353	3/3 Ripwave Power
16354	<b>Effect</b>\n<c=41af41>+110% ripwave resonance power</c>\n<c=9d9ddf>Cost: 20000 RUs\nTime: 400 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nEngineering Division</c>
16355	Ripwave Radius: Level 1
16356	1/3 Ripwave Radius
16357	<b>Effect</b>\n<c=41af41>+15% ripwave sphere radius</c>\n<c=9d9ddf>Cost: 5000 RUs\nTime: 100 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nScience Division</c>
16358	Ripwave Radius: Level 2
16359	2/3 Ripwave Radius
16360	<b>Effect</b>\n<c=41af41>+15% ripwave sphere radius</c>\n<c=9d9ddf>Cost: 10000 RUs\nTime: 200 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nScience Division</c>
16361	Ripwave Radius: Level 3
16362	3/3 Ripwave Radius
16363	<b>Effect</b>\n<c=41af41>+20% ripwave sphere radius</c>\n<c=9d9ddf>Cost: 20000 RUs\nTime: 400 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nEngineering Division</c>
16364	Gujking Mass Shield Power: Level 1
16365	1/3 Mass Shield Power
16366	<b>Effect</b>\n<c=41af41>+20% Mass Shield power</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16367	Gujking Mass Shield Power: Level 2
16368	2/3 Mass Shield Power
16369	<b>Effect</b>\n<c=41af41>+20% Mass Shield power</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16370	Gujking Mass Shield Power: Level 3
16371	3/3 Mass Shield Power
16372	<b>Effect</b>\n<c=41af41>+20% Mass Shield power</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16373	Gujking Mass Shield Recharge: Level 1
16374	1/3 Mass Shield Recharge
16375	<b>Effect</b>\n<c=41af41>+25% Mass Shield recharge rate</c>\n<c=9d9ddf>Cost: 1250 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16376	Gujking Mass Shield Recharge: Level 2
16377	2/3 Mass Shield Recharge
16378	<b>Effect</b>\n<c=41af41>+25% Mass Shield recharge rate</c>\n<c=9d9ddf>Cost: 2500 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16379	Gujking Mass Shield Recharge: Level 3
16380	3/3 Mass Shield Recharge
16381	<b>Effect</b>\n<c=41af41>+25% Mass Shield recharge rate</c>\n<c=9d9ddf>Cost: 3750 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16382	Gujking Mass Shield Duration: Level 1
16383	1/3 Mass Shield Time
16384	<b>Effect</b>\n<c=41af41>+25% Mass Shield duration</c>\n<c=9d9ddf>Cost: 1500 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16385	Gujking Mass Shield Duration: Level 2
16386	2/3 Mass Shield Time
16387	<b>Effect</b>\n<c=41af41>+25% Mass Shield duration</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16388	Gujking Mass Shield Duration: Level 3
16389	3/3 Mass Shield Time
16390	<b>Effect</b>\n<c=41af41>+25% Mass Shield duration</c>\n<c=9d9ddf>Cost: 4500 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Gujking\nEngineering Division</c>
16391	Module SubSystem Health: Level 1
16392	1/3 Module Health
16393	<b>Effect</b>\n<c=41af41>+30% health</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nDefense Control Tower</c>
16394	Module SubSystem Health: Level 2
16395	2/3 Module Health
16396	<b>Effect</b>\n<c=41af41>+30% health</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Control Tower</c>
16397	Module SubSystem Health: Level 3
16398	3/3 Module Health
16399	<b>Effect</b>\n<c=41af41>+30% health</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Control Tower</c>
16400	Special Subsystem Health: Level 1
16401	1/3 Special Health
16402	<b>Effect</b>\n<c=41af41>+30% health</c>\n<c=9d9ddf>Cost: 700 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nDefense Control Tower</c>
16403	Special Subsystem Health: Level 2
16404	2/3 Special Health
16405	<b>Effect</b>\n<c=41af41>+30% health</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Control Tower</c>
16406	Special Subsystem Health: Level 3
16407	3/3 Special Health
16408	<b>Effect</b>\n<c=41af41>+30% health</c>\n<c=9d9ddf>Cost: 2800 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Control Tower</c>
16409	Rocket Boost: Level 1
16410	1/3 Rocket Boost
16411	<b>Effect</b>\n<c=41af41>+10% Speed</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nDrive System</c>
16412	Rocket Boost: Level 2
16413	2/3 Rocket Boost
16414	<b>Effect</b>\n<c=41af41>+10% Speed</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDrive System</c>
16415	Rocket Boost: Level 3
16416	3/3 Rocket Boost
16417	<b>Effect</b>\n<c=41af41>+10% Speed</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDrive System</c>
16418	Damage: Level 1
16419	1/3 Impact Damage
16420	<b>Effects</b>\n<c=41af41>+10% damage\n+10% Health</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nFire Control Tower</c>
16421	Damage: Level 2
16422	2/3 Impact Damage
16423	<b>Effects</b>\n<c=41af41>+10% damage\n+10% Health</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nFire Control Tower</c>
16424	Damage: Level 3
16425	3/3 Impact Damage
16426	<b>Effects</b>\n<c=41af41>+10% damage\n+10% Health</c>\n<c=9d9ddf>Cost: 4000 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nFire Control Tower</c>
16427	Sensor Range: Level 1
16428	1/3 Sensors Range
16429	<b>Effect</b>\n<c=41af41>+20% range</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nAdvanced Sensors Array</c>
16430	Sensor Range: Level 2
16431	2/3 Sensors Range
16432	<b>Effect</b>\n<c=41af41>+20% range</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 65 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nAdvanced Sensors Array</c>
16433	Sensor Range: Level 3
16434	3/3 Sensors Range
16435	<b>Effect</b>\n<c=41af41>+20% range</c>\n<c=9d9ddf>Cost: 4000 RUs\nTime: 75 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nAdvanced Sensors Array</c>
16436	Cloak Detection: Level 1
16437	1/3 Cloak Detection
16438	<b>Effect</b>\n<c=41af41>+100% cloak detection power</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 35 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nAnti-Cloaking Sensors</c>
16439	Cloak Detection: Level 2
16440	2/3 Cloak Detection
16441	<b>Effect</b>\n<c=41af41>+100% cloak detection power</c>\n<c=9d9ddf>Cost: 2400 RUs\nTime: 45 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nAnti-Cloaking Sensors</c>
16442	Cloak Detection: Level 3
16443	3/3 Cloak Detection
16444	<b>Effect</b>\n<c=41af41>+100% cloak detection power</c>\n<c=9d9ddf>Cost: 4800 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nAnti-Cloaking Sensors</c>
16445	Cloak Time: Level 1
16446	1/3 Cloak Time
16447	<b>Effect</b>\n<c=41af41>+30% cloak duration</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 35 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nCloak Generator</c>
16448	Cloak Time: Level 2
16449	2/3 Cloak Time
16450	<b>Effect</b>\n<c=41af41>+30% cloak duration</c>\n<c=9d9ddf>Cost: 2400 RUs\nTime: 45 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nCloak Generator</c>
16451	Cloak Time: Level 3
16452	3/3 Cloak Time
16453	<b>Effect</b>\n<c=41af41>+30% cloak duration</c>\n<c=9d9ddf>Cost: 4800 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nCloak Generator</c>
16454	Cloak Power: Level 1
16455	1/3 Cloak Power
16456	<b>Effect</b>\n<c=41af41>+100% cloak power</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 35 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nCloak Generator</c>
16457	Cloak Power: Level 2
16458	2/3 Cloak Power
16459	<b>Effect</b>\n<c=41af41>+100% cloak power</c>\n<c=9d9ddf>Cost: 2800 RUs\nTime: 45 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nCloak Module</c>
16460	Cloak Power: Level 3
16461	3/3 Cloak Power
16462	<b>Effect</b>\n<c=41af41>+100% cloak power</c>\n<c=9d9ddf>Cost: 5600 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nCloak System</c>
16463	Hyperspace Time: Level 1
16464	1/3 Hyperspace Time
16465	<b>Effect</b>\n<c=41af41>30% hyperspace time</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nHyperspace Module</c>
16466	Hyperspace Time: Level 2
16467	2/3 Hyperspace Time
16468	<b>Effect</b>\n<c=41af41>-30% hyperspace time</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nHyperspace Module</c>
16469	Hyperspace Time: Level 3
16470	3/3 Hyperspace Time
16471	<b>Effect</b>\n<c=41af41>-30% hyperspace time</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nHyperspace Module</c>
16472	Hyperspace Damage: Level 1
16473	1/3 Hyperspace Damage
16474	<b>Effect</b>\n<c=41af41>-20% aborted jump damage</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 45 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nHyperspace Module</c>
16475	Hyperspace Damage: Level 2
16476	2/3 Hyperspace Damage
16477	<b>Effect</b>\n<c=41af41>-20% aborted jump damage</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nHyperspace Module</c>
16478	Hyperspace Damage: Level 3
16479	3/3 Hyperspace Damage
