filerange    10000 10711
rangestart    10000 10711
//	--LOCALE TABLE GENERATED BY TempCombiner.py--
//	--         SHIPS          --
/////    /===================================\
/////   /=====================================\
/////	|              HIIGARAN               |
/////	\=====================================/
/////	 \===================================/
/////	/==========================\
/////	|         UTILITY          |
/////	\==========================/
10000	<c=ff0000>Launch Evacuation Pod</c>
10113	Defender Drone
10114	<b>Armament</b>\n<c=ff1919>2 Light Pulsar Cannons</c>\n\n<b>Type:</b>Drone\n\n<c=9d9ddf>Cost: 200 RUs\nBuild Time: 20 s</c>\nStrong vs: Corvettes\n\n<b>Description:</b> Anti-Corvette/Frigate Light Defender Drone; doesn't need crew, provides light supporting fire, ideal to escort massive ships into the battle
/////	/====================================\
/////	| CAPITAL SHIP & SUPER-CAPITAL SHIP  |
/////	\====================================/
10115	Mothership
10116	<b>Armament</b>\n<c=ff1919>12 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>4 Production slots\n4 Module slots\n22 Special slots\n2 Resource Drop-Off points</c>\n\n<c=9d9ddf>Cost: 7500 RUs\nMaintenance: 200 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Core</c>\n\n<b>Description:</b> Central Fleet Production/Fleet Command
10117	Light Carrier
10118	<b>Armament</b>\n<c=ff1919>3 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>2 Production slots\n1 Module slot\n2 Special slots\nCan Build: Fighters, Corvettes, Capital Ships, Probes, Subsystems\nDock-Internal: Fighters, Corvettes</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>1 officer\n10 crew members</c>\n\n<b>Description:</b> Basic Production Capital Ship; a stripped down version of the Carrier, the Light Carrier costs less and needs less crew than the full size Carrier, but can only build a single subsystem
10119	Research Station
10120	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>3 Research Module slots\n6 Special Slots\nCan Build: Research Modules (Divisions)</c>\n\n<c=9d9ddf>Cost: 1800 RUs\nBuild Time: 65 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>2 officers\n20 crew members</c>\n\n<b>Description:</b> Research & Development Ship; allows fleet to research and develop new technologies and improve existing systems. The Research Station can also temporarily improve the abilities of surrounding allied ships using a prototype power system
10121	Power Station
10122	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>12 Special Slots\nCan Build: Toroidal Magnets, Defense Field, Energy Power Up</c>\n\n<c=9d9ddf>Cost: 3800 RUs\nBuild Time: 80 s\nMaintenance: 250 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>2 officers\n20 crew members</c>\n\n<b>Description:</b> Energy Production Ship; provides and stores energy for the whole fleet, when docked the Power Station provides only 50% normal generation rate. The Station will take damage while overloaded (negative energy production)
10123	Weapon Station
10124	<b>Armament</b>\n<c=ff1919>4 Long Range Autogun Turrets\n4 Artillery Cannon Turrets</c>\n\n<b>Features</b>\n<c=ffbb19>2 Special Slots\nIntegrated Fire Control Tower\nCan Build: Subsystems, Special Weapons</c>\n\n<c=9d9ddf>Cost: 8000 RUs\nBuild Time: 200 s\nMaintenance: 300 RUs/year</c>\nStrong vs: Fully Customizable\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nCaptain Rank (150 Honor points)\n3 officers\n30 crew members</c>\n\n<b>Description:</b> Adaptable Weapons Platform; fully customizable high-energy weapons system, this large chassis can mount a variety of advanced long range weapons
10125	Crew Station
10126	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>6 Crew Module slots\n5 Officer Module slots\nCan Build: Crew cells, Crew/Officer Barracks\nDock-Internal: Crew Cells</c>\n\n<c=9d9ddf>Cost: 2300 RUs\nBuild Time: 70 s\nMaintenance: 90 RUs/year</c>\n\n<b>Note:</b>\n<c=787878>Only one Crew Station may be built\nPassive Tacticss: Crew cells will not auto-launch</c>\n\n<b>Description:</b> Crew Training/Housing Ship; allows recruitment and training of additional fleet personnel
10127	Carrier
10128	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>3 Production slots\n2 Module slots\n5 Special slots\n2 Resource Drop-Off points\nCan Build: Fighters, Corvettes, Frigates, Shipyard (All), Chimera Station, Platforms, Utility, Subsystems\nDock-Internal: Fighters, Corvettes, Utility</c>\n\n<c=9d9ddf>Cost: 2800 RUs\nBuild Time: 80 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nLieutenant Rank (30 Honor points)\n2 officers\n30 crew members</c>\n\n<b>Description:</b> Basic Production
10129	Battle Carrier
10130	<b>Armament</b>\n<c=ff1919>2 Hex Heavy Kinetic Cannon Turrets\nHeavy Mine Layer Turret\n5 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>4 Production slots\n3 Module slots\n4 Special slots\n2 Resource Drop-Off points\nCan Build: Fighters, Corvettes, Frigates, Capital Ship (Cruiser class and smaller), Platforms, Utility Ships, Subsystems, Special Weapons\nDock-Internal: Fighters, Corvettes, Frigates, Utility</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 120 s\nMaintenance: 150 RUs/year</c>\nStrong vs: Fighters, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nLieutenant Rank (30 Honor points)\n3 officers\n30 crew members</c>\n\n<b>Description:</b> Heavy Production Capital Ship; can both build ships and provide supporting fire during battle
10131	Chimera Station
10132	<b>Features</b>\n<c=ffbb19>1 Special slot\nIntegrated Advanced Sensor Ping System\nIntegrated Hyperspace System\nIntegrated Hyperspace Gate System\nIntegrated Large Gravity Well Generator System (deactivateable)\nIntegrated Cloak Generator System\nIntegrated Anti-Cloak Sensors\nIntegrated Sensor Distortion System\nCan Build: Spies, Probes, Subsystems</c>\n\n<c=9d9ddf>Cost: 1700 RUs\nBuild Time: 60 s\nMaintenance: 90 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\n1 officer\n10 crew members</c>\n\n<b>Description:</b> Perimeter Support Station; contains hyperspace gate technology (use of gate requires a second station) as well as many advanced sensor and support systems
10133	Sweeper Destroyer
10134	<b>Armament</b>\n<c=ff1919>4 Rapid Sweeper Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Capital Ship Torpedoes</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 165 s\nMaintenance: 55 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nSweeper Destroyer Chassis Technology\n1 officer\n15 crew members</c>\n\n<b>Description:</b> Anti-Fighter/Corvette
10135	Destroyer
10136	<b>Armament</b>\n<c=ff1919>4 Kinetic Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Capital Ship Torpedo Launchers</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 165 s\nMaintenance: 55 RUs/year</c>\nStrong vs: Frigates, Capital Ships \n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nResearch Division\nDestroyer Chassis Technology\n1 officer\n15 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship
10137	Torpedo Destroyer
10138	<b>Armament</b>\n<c=ff1919>3 Torpedo Turrets\nMine Layer Turret</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Capital Ship Torpedo Launchers\n3 Anti-Frigate/Capital Ship Callistoes</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 175 s\nMaintenance: 65 RUs/year</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nScience Division\nMissile Destroyer Chassis Technology\n1 officer\n18 crew members</c>\n\n<b>Description:</b> Anti-Capital Ship
10139	Ion Destroyer
10140	<b>Armament</b>\n<c=ff1919>4 Ion Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Capital Ship Torpedo Launchers</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 175 s\nMaintenance: 65 RUs/year</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nScience Division\nIon Destroyer Chassis Technology\n1 officer\n18 crew members</c>\n\n<b>Description:</b> Anti-Capital Ship
10141	Advanced Destroyer
10142	<b>Armament</b>\n<c=ff1919>2 Tri Heavy Kinetic Cannon Turrets\n2 Heavy Ion Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>Anti-Capital Ship Torpedoes</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 185 s\nMaintenance: 75 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nEngineering Division\nAdvanced Destroyer Chassis Technology\n1 officer\n21 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship
10143	Artillery Destroyer
10144	<b>Armament</b>\n<c=ff1919>4 Tandem Artillery Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Capital Ship Torpedo Launchers</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 185 s\nMaintenance: 75 RUs/year</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship Facility\nEngineering Division\nArtillery Destroyer Chassis Technology\n1 officer\n21 crew members</c>\n\n<b>Description:</b> Long-Range Anti-Capital Ship. Requires assistance of a reconiassance ship to make full use of its long-range weapons
10145	Juggernaut
10146	<b>Armament</b>\n<c=ff1919>Spatial Ripwave Generator</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 300 s\nMaintenance: 85 RUs/year</c>\nStrong vs: All\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship or Super-Capital Ship Facility\nScience Division\nJuggernaut Chassis Technology\n1 officer\n10 crew members</c>\n\n<b>Description:</b> Spatial Ripwave Generator Ship; when it is close to the target or if the ship's destruction is imminent, the Spatial Ripwave system is activated, resulting in a powerful localized spatial shockwave which rends the hulls of any nearby ships but destroys the Juggernaut in the process
10147	Cruiser Alpha
10148	<b>Armament</b>\n<c=ff1919>4 Tri Heavy Kinetic Cannon Turrets\n2 Heavy Ion Cannon Turrets\n1 Plasma EMP Cannon\n15 Long Range Medium Kinetic Cannon Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>4 Anti-Capital Ship Torpedo Launchers</c>\n\n<b>Feature Upgrade</b>\n<c=fff555>Integrated Ablative Shield</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 200 s\nMaintenance: 85 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship or Super-Capital Ship Facility\nEngineering Division\nCruiser Chassis Technology\n2 officers\n23 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship
10149	Cruiser Beta
10150	<b>Armament</b>\n<c=ff1919>4 Tri Heavy Kinetic Cannon Turrets\n1 Plasma EMP Cannon\n15 Long Range Kinetic Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>10 Heavy Mine Launchers</c>\n\n<b>Feature Upgrade</b>\n<c=fff555>Integrated Ablative Shield</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 200 s\nMaintenance: 85 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Capital Ship or Super-Capital Ship Facility\nEngineering Division\nCruiser Chassis Technology\n2 officers\n23 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship
10151	Shipyard
10152	<b>Armament</b>\n<c=ff1919>12 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>4 Production slots\n6 Module slots\n4 Special slots\n2 Resource Drop-Off points\nCan Build: All Classes and Subsystems\nDock-Internal: Fighters, Corvettes, Frigates, Utility Ships</c>\n\n<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 100 s\nMaintenance: 150 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\nCommander Rank (80 Honor points)\n3 officers\n40 crew members</c>\n\n<b>Description:</b> Advanced Production Capital Ship; can build construction facilities for larger and more advanced Capital Ships, as well as a wide variety of system enhancing modules
10153	Gujking Shipyard
10154	<b>Armament</b>\n<c=ff1919>12 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>6 Module slots\n16 Special slots\n2 Resource Drop-Off points\nCan Build: All classes, Subsystems and Special Weapons\nDock-Internal: Fighters, Corvettes, Frigates, Utility Ships\nDock-External: (2) Juggernaut/Sentinels</c>\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 100 s\nMaintenance: 250 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\nCommander Rank (80 Honor points)\n3 officers\n40 crew members</c>\n\n<b>Description:</b> Enhanced Production Capital Ship; links with the Research/Crew/Power/Weapon stations and Mothership to form the Gujking, which can construct powerful weapon systems. Only one Gujking Shipyard may be built
10155	Battle Shipyard
10156	<b>Armament</b>\n<c=ff1919>3 Long Range Autogun Turrets\n6 Artillery Cannon Turrets\n8 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>4 Production slots\n6 Module slots\n10 Special slots\nCan Build: All Classes & Subsystems\nDock-Internal: Fighters, Corvettes, Frigates, Utility Ships</c>\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 250 s\nMaintenance: 150 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\nCommander Rank (80 Honor points)\n6 officers\n60 crew members</c>\n\n<b>Description:</b> Heavy Capital Ship-Class Production Ship; can construct all classes of Capital Ships, as well as fighter, corvettes and frigates
10157	Command Fortress
10158	<b>Armament</b>\n<c=ff1919>16 Kinetic Cannon Turrets</c>\n\n<b>Features</b>\n<c=ffbb19>39 Special slots\nIntegrated Hyperspace System\nCan Build: Capital Ships, Platforms, Utility Ships, Subsystems\nDock-Internal: Fighters, Corvettes, Frigates, Utility Ships</c>\n\n<b>Type:</b>Station\n\n<c=9d9ddf>Cost: 12000 RUs\nBuild Time: 700 s\nMaintenance: 250 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\nAdmiral Rank (350 Honor points)\n6 officers\n60 crew members</c>\n\n<b>Description:</b> Zone Control Station; aids in maintaining control over specific regions of space. Houses advanced communication systems and can construct advanced weapon systems and the Patcher automated repair drones
10159	Orbital Station
10160	<b>Armament</b>\n<c=ff1919>14 Long-Range Autoguns</c>\n\n<b>Features</b>\n<c=ffbb19>12 Civilian Housing Module slots\nIntegrated Anti-Radiation Shield\nIntegrated Hyperspace System\nIntegrated Gravity Well Generator System\nCan Build: Civilian Housing Modules\nDock-Internal: Fighters, Corvettes, Frigates, Capital Ships</c>\n\n<b>Type:</b>Station\n\n<c=9d9ddf>Cost: 24000 RUs\nBuild Time: 1400 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)</c>\n\n<b>Description:</b> Resource Generation Station; houses and protects a growing civilian population, which in turn provides the fleet with additional resources
10161	Battle Ark
10162	<b>Armament</b>\n<c=ff1919>7 Hex Heavy Kinetic Turrets\nPlasma EMP Cannon\n2 Heavy Mine Turrets\n2 Torpedo Launcher Turrets\n4 Rapid Sweepers</c>\n<b>Upgrades</b>\n<c=ff7d55>Ripwave Bomb Launcher</c>\n\n<b>Features</b>\n<c=ffbb19>Dual Fire Control Towers\nIntegrated Hyperspace System\nPowerful Engines\nDock-Internal: Fighters, Corvettes, Frigates, Capital Ships\nDock-External: Juggernaut/Sentinel, Mothership</c>\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 600 s\nMaintenance: 250 RUs/year</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module (on board)\nCommodore Rank (240 Honor points)\n6 officers\n60 crew members</c>\n\n<b>Description:</b> Super-Capital Transport/Support Ship; can transport most ships and provide fire support in battle
10163	Shuttle
10164	<b>Features</b>\n<c=ffbb19>2 Special slots\nIntegrated Repair System\nIntegrated Ablative Shield\nMinelaying System\nPowerful Engines\nCan Build: Patchers, Subsystems\nDock-Internal: Fighters, Corvettes, Patchers\nDock-External: Juggernauts, Sentinels</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 240 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\n2 officers\n20 crew members</c>\n\n<b>Description:</b> Heavy Support Transport; provides protection and deploy automated repair drones to assist nearby allied ships. Can construct an array of Anti-Missile Fast-Tracking Turrets and can carry up to 4 Juggernauts or Sentinels, and deploy heavy minefields
10165	Battlecruiser
10166	<b>Armament</b>\n<c=ff1919>4 Kinetic Cannon Turrets\n4 Pulsar Ion Arrays</c>\n\n<b>Features</b>\n<c=ffbb19>2 Module slots\n9 Special slots\nCan Build: Subsystems\nDock-Internal: Fighters, Corvettes</c>\n\n<c=9d9ddf>Cost: 5500 RUs\nBuild Time: 320 s\nMaintenance: 125 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nScience Division\nBattlecruiser Chassis Technology\nCaptain Rank (150 Honor points)\n3 officers\n30 crew members</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship
10168	Vortex
10169	<b>Armament</b>\n<c=ff1919>12 Kinetic Cannon Turrets\n2 Heavy Ion Cannon Turrets\n2 Ripwave Bomb Launchers</c>\n\n<b>Features</b>\n<c=ffbb19>1 Module slot\n11 Special slots\nCan Build: Subsystems\nDock-Internal: Fighters, Corvettes</c>\n\n<c=9d9ddf>Cost: 7500 RUs\nBuild Time: 420 s\nMaintenance: 200 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nEngineering Division\nVortex Chassis Technology\nCommodore Rank (240 Honor points)\n4 officers\n35 crew members</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship; has high mobility.
10170	Battleship
10171	<b>Armament</b>\n<c=ff1919>2 Long Range Autogun Turrets\n6 Tandem Artillery Cannon Turrets\n2 Plasma EMP Cannons\nHigh-Speed Bomb Launcher</c>\n\n<b>Features</b>\n<c=ffbb19>2 Module slots\n10 Special slots\nCan Build: Subsystems\nDock-Internal: Fighters, Corvettes</c>\n\n<c=9d9ddf>Cost: 9000 RUs\nBuild Time: 450 s\nMaintenance: 250 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Super-Capital Ship Facility\nEngineering Division\nBattleship Chassis Technology\nCommodore Rank (240 Honor points)\n5 officers\n45 crew members</c>\n\n<b>Description:</b> Heavy Anti-Capital Ship
10173	Scavenger
10174	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>2 Module slots\n6 Special slots\n4 Resource Drop-Off points\nCan Build: Platforms, Utility, Subsystems, Miner Torpedo\nDock-Internal: Resource Collectors</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 80 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\n1 officer\n15 crew members</c>\n\n<b>Description:</b> Advanced Resource Operations Utility Ship; the Scavenger can increase the maximum RU capacity and generate additional resources by fusion.
10175	Fleet Carrier
10176	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns\n2 Long Range Autoguns\nRapid Bomb Launcher\nKinetic Cannon Turret</c>\n\n<b>Features</b>\n<c=ffbb19>3 Special slots\nIntegrated Fire Control Tower\nIntegrated Ablative Shield\nCan Build: Subsystems\nDock-Internal: Fighters, Corvettes</c>\n<b>Upgrade</b>\n<c=fff555>Anti-Radiation Field</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 80 s\nMaintenance: 100 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates\n\n<b>Prerequisites</b>\n<c=e7bd59>Capital Ship or Super-Capital Ship Facility\nLieutenant Rank (30 Honor points)\n2 officers\n30 crew members</c>\n\n<b>Description:</b> Combat Support Capital Ship; support-oriented carrier equipped with an Ablative Shield and Fire Control Tower.
/////	Empty to 10421

/////    /===================================\
/////   /=====================================\
/////	|               VAYGR                 |
/////	\=====================================/
/////	 \===================================/
/////	/==========================\
/////	|          FIGHTERS        |
/////	\==========================/
10421	Survey Scout
10422	<b>Armament</b>\n<c=ff1919>Light Flechette Gun</c>\n<b>Upgrades</b>\n<c=ff7d55>Electro Magnetic Pulse Emitter</c>\n\n<b>Type:</b>Fighter\n\n<c=9d9ddf>Cost: 350 RUs\nBuild Time: 20 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>3 crew members</c>\n\n<b>Description:</b> Basic Reconnaissance Fighter Squadron
10423	Assault Craft
10424	<b>Armament</b>\n<c=ff1919>Flechette Gun</c>\n\n<b>Type:</b>Fighter\n\n<c=9d9ddf>Cost: 500 RUs\nBuild Time: 35 s\nMaintenance: 7 RUs/year</c>\nStrong vs: Fighters\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\n7 crew members</c>\n\n<b>Description:</b> Basic Anti-Fighter Fighter Squadron
10425	Bomber
10426	<b>Armament</b>\n<c=ff1919>2 Anti-Capital Ship Plasma Bomb Launchers</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-SubSystem Plasma Bomb Launchers</c>\n\n<b>Type:</b>Fighter\n\n<c=9d9ddf>Cost: 550 RUs\nBuild Time: 40 s\nMaintenance: 8 RUs/year</c>\nStrong vs: Frigates, Capital Ship, Subsystems \n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nBomber Chassis Technology\n6 crew members</c>\n\n<b>Description:</b> Basic Anti-Capital Ship Fighter Squadron
10427	Lance Fighter
10428	<b>Armament</b>\n<c=ff1919>Light Plasma Lance</c>\n\n<b>Type:</b>Fighter\n\n<c=9d9ddf>Cost: 550 RUs\nBuild Time: 35 s\nMaintenance: 7 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nLance Beam Technology\n5 crew members</c>\n\n<b>Description:</b> Anti-Corvette/Frigate Fighter Squadron
10429	Defender
10430	<b>Armament</b>\n<c=ff1919>3 Flechette Guns</c>\n\n<b>Type:</b>Fighter\n\n<c=9d9ddf>Cost: 650 RUs\nBuild Time: 50 s\nMaintenance: 9 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nDefender Chassis Technology\n5 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette Fighter Squadron
10431	Heavy Fighter
10432	<b>Armament</b>\n<c=ff1919>Light Plasma Lance\nConcussion Missile Launcher</c>\n\n<b>Type:</b>Fighter\n\n<c=9d9ddf>Cost: 750 RUs\nBuild Time: 55 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nHeavy Fighter Chassis Technology\n5 crew members</c>\n\n<b>Description:</b> Heavy Anti-Corvette/Frigate Fighter Squadron
/////	/==========================\
/////	|        CORVETTES         |
/////	\==========================/
10433	Missile Corvette
10434	<b>Armament</b>\n<c=ff1919>Concussion Missile Launcher</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 625 RUs\nBuild Time: 45 s\nMaintenance: 11 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\n8 crew members</c>\n\n<b>Description:</b> Basic Anti-Corvette/Frigate Squadron
10435	Laser Corvette
10436	<b>Armament</b>\n<c=ff1919>Laser Cannon</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 650 RUs\nBuild Time: 45 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nLaser Systems Technology\n8 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Corvette Squadron
10437	Plasma Corvette
10438	<b>Armament</b>\n<c=ff1919>2 Plasma Cannons</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 650 RUs\nBuild Time: 45 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Frigates, Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nPlasma Systems Technology\n8 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Corvette Squadron
10439	Minelayer Corvette
10440	<b>Armament</b>\n<c=ff1919>Flechette Cannon\nMine Sweeper\nMine Deploying System</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 45 s\nMaintenance: 6 RUs/year</c>\nStrong vs: Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nMinelaying Technology\n3 crew members</c>\n\n<b>Description:</b> Anti-Capital Ship Support Corvette; can deploy proximity mines as a static combat system. It can also eliminate hostile minefields. Minelaying systems must be manually activated (default N)
10441	Command Corvette
10442	<c=9d9ddf>Cost: 400 RUs\nBuild Time: 30 s\nMaintenance: 8 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nCommand System Technology\n2 crew members</c>\n\n<b>Description:</b> Combat Support Corvette; improves weapons' damage (+15%) and accuracy (+15%) of all allied ships within 4.5 kilometers
10443	Barrage Corvette
10444	<b>Armament</b>\n<c=ff1919>8 Concussion Missile Launchers</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 70 s\nMaintenance: 14 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nBarrage Technology\n9 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette/Frigate Corvette Squadron
10445	MultiLance Corvette
10446	<b>Armament</b>\n<c=ff1919>2 Laser Turrets</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 60 s\nMaintenance: 13 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nMultiLance Technology\n9 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Squadron
10447	Storm Corvette
10448	<b>Armament</b>\n<c=ff1919>Quad Flechette Turret</c>\n\n<b>Type:</b>Corvette\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 50 s\nMaintenance: 14 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nStorm Corvette Technology\n8 crew members</c>\n\n<b>Description:</b> Anti-Fighter/Corvette Squadron
10449	Striker Corvette
