filerange	10831 11452
10960	Uses 1 Special slot\n\n<c=ff1919>Damage: 500\nRoF: 1 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 200 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership, Research/Crew/Power/Weapon Stations docked to the Gujking Shipyard\nScience Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
10961	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
// 10962	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
// 10963	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
// 10964	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
10965	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\n100 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
// 10966	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\n100 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
// 10967	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\n100 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
// 10968	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\n100 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
10969	Uses 1 Special slot\n\n<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
// 10970	<c=ff1919>Damage: 150 x 2\nRoF: 0.4 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>1 special slot\nScience Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
10971	Heavy Plasma EMP Cannon
10972	Uses 1 Special slot\n\n<c=ff1919>Damage: 8500\nRoF: 12 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 7500 RUs\nBuild Time: 375 s\nMaintenance: 200 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership, support stations (Research/Crew/Power/Weapon) docked to the Gujking Shipyard\nEngineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Heavy Plasma EMP Cannon
10973	Tactical Heavy Ion Cannon (Balkaan)
10974	Uses 1 Special slot\n\n<c=ff1919>Damage: 275000\nRoF: 120 s\nRange: 35000 m</c>\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 500 s\nMaintenance: 300 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership, Research/Crew/Power/Weapon Stations docked to the Gujking Shipyard\nFleet Admiral Rank (480 Honor points)\nEngineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Heavy Ion Cannon; activation requires authorization from Command (default: Z or the related command icon)
10975	Heavy Mass Shield
10976	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 500 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership, Research/Crew/Power/Weapon Stations docked to the Gujking Shipyard\nCommodore Rank (240 Honor points)\nEngineering Division</c>\n\n<b>Description:</b> Defensive Shield Emitter, based on surface integrity, protects nearby ships from weapons and incoming enemy units, it's useful to counteract long Range: advanced weapons like ripwave bombs and heavy ion cannons. Activation requires authorization from Command (default T)
10977	Defense Facility
10978	Uses 1 Special slot\n\n<b>Effects</b>\n<c=af4141>Enemies within 7000 m radius\n-8% Drive\n-18% Speed\n-8% Weapon Damage\n-18% Weapon Aim</c>\n<c=41af41>Allies within 8000 m radius\n+200% Auto-Repair rate</c>\n<c=b26dff>Carrier Ship\n+18% Health\n+150% Repair Dock rate</c>\n\n<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 250 s\nMaintenance: 150 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Heavy Kinetic Cannon (SET), Torpedo Launcher (SET), Heavy Ion Cannon (SET), Heavy Mine Layer (SET), Ripwave Bomb Launcher, Rapid Sweeper (SET), Patcher, Drone, Heavy Ripwave Bomb</c>
10979	Fusion Control Module
10980	Uses 1 Module slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\nFusion: 30 RUs every 10 s</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 75 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Fusion upgrades</c>\n\n<b>Description:</b> Fusion Controller, enables RU generation from fusion, allowing the Scavenger to autonomously generate RUs (RUs generated this way are provided to the fleet at the end of each game year).
10981	RU Supply
10982	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 75 s\nMaintenance: 40 RUs/year</c>\n\n<b>Description:</b> Resource Storage; fleet can store 3000 units of additional resources
10983	Heavy Kinetic Cannon (SET)
10984	Uses 5 Special slot\n\n<b>Armament Set</b>\n<c=ff1919>5 Hex Heavy Kinetic Cannon Turrets</c>\n<c=ff1919>Damage: 650 x 6 (per unit)\nRoF: 12 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 200 s\nMaintenance: 110 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\nDefense Facility (on board)</c>\n\n<b>Purpose:</b> Advanced Anti-Frigate (weapon set)
10985	Torpedo Launcher (SET)
10986	Uses 4 Special slots\n\n<b>Armament Set</b>\n<c=ff1919>4 Anti-Corvette/Frigate Torpedo Turrets</c>\n\n<c=ff1919>Damage: 750 (per unit)\nRoF: 10 s\nRange: 3900 m</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 100 s\nMaintenance: 60 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Purpose:</b> Anti-Corvette/Frigate (weapon set)
10987	Uses 8 Special slots\n\n<b>Armament Set</b>\n<c=ff1919>8 Anti-Corvette/Frigate Torpedo Turrets</c>\n\n<c=ff1919>Damage: 750 (per unit)\nRoF: 10 s\nRange: 3900 m</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 150 s\nMaintenance: 120 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\nDefense Facility (on board)</c>\n\n<b>Purpose:</b> Anti-Corvette/Frigate (weapon set)
10988	Rapid Sweeper Turret
10989	Uses 1 Special slot\n\n<c=ff1919>Damage: 75 (burst)\nRoF: 0.8 s\nRange: 1900 m</c>\n\n<c=9d9ddf>Cost: 600 RUs\nBuild Time: 40 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Purpose:</b> Anti-Fighter/Corvette system
10990	Long-Range Autogun (SET)
10991	<b>Armament Set</b>\n<c=>8 Long-Range Auto Gun Turrets</c>\n\n<b>Type:</b> Weapon (takes 8 special slot)\n<c=ff1919>Damage: 30 x 8\nRoF: 0.3 s\nRange: 12600 m</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 100 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership, Research/Crew/Power/Weapon Stations docked to the Gujking Shipyard\n(Research Division)</c>\n\n<b>Purpose:</b> Anti-Fighter/Corvette (weapon set)
10992	Kinetic Cannon Turret
10993	Uses 1 Special slot\n\n<c=ff1919>Damage: 750\nRoF: 6 s\nRange: 4500 m</c>\n\n<c=9d9ddf>Cost: 700 RUs\nBuild Time: 35 s\nMaintenance: 10 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Purpose:</b> Anti-Frigate
10994	Ion Cannon Turret
10995	Uses 1 Special slot\n\n<c=ff1919>Damage: 15000\nRoF: 15 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 60 s\nMaintenance: 15 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Purpose:</b> Anti-Capital Ship
10996	Mine Layer
10997	Uses 1 Special slot\n\n<c=ff1919>Damage: 14000 x 2\nRoF: 35 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 75 s\nMaintenance: 15 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Purpose:</b> Anti-Capital Ship
10998	Torpedo Battery
10999	You may have only 1 Battery on a ship\n\n<b>Armament</b>\n<c=ff1919>4 Anti-Capital Ship Torpedoes\n4 Anti-Fighter/Corvette Torpedoes</c><c=ff1919>Damage: 10000 x 4\nRoF: 10 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 1900 RUs\nBuild Time: 85 s\nMaintenance: 60 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n300 Experience Points</c>\n\n<b>Description:</b> Anti-Capital Ship
11000	Ion Cannon Battery
11001	Uses 1 Special slot\n\n<b>Armament</b>\n<c=ff1919>4 Heavy Ion Cannons</c>\n\n<c=ff1919>Damage: 16000 x 4\nRoF: 16 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 95 s\nMaintenance: 60 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n400 Experience Points</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship
11002	Plasma Disruptor Battery
11003	<b>Armament</b>\n<c=ff1919>4 Plasma Launchers</c>\n\n<b>Type:</b> Weapon (takes 1 special slot, you can build only one battery per ship)\n<c=ff1919>Damage: 5000 x 4\nRoF: 9 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 2100 RUs\nBuild Time: 105 s\nMaintenance: 60 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n500 Experience Points</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon
11004	Ripwave Bomb Battery
11005	<b>Armament</b>\n<c=ff1919>4 Ripwave Bomb Launchers</c>\n\n<b>Type:</b> Weapon (takes 1 special slot)\n<c=ff1919>Damage: 112000 x 4\nRoF: 110 s\nRange: 12500 m</c>\n\n<c=9d9ddf>Cost: 2200 RUs\nBuild Time: 115 s\nMaintenance: 60 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n500 Experience Points</c>\n\n<b>Description:</b> Devastation battery (to fire press the Z key or the related command icon)
11006	Ion Cannon Battery
11007	<b>Armament</b>\n<c=ff1919>4 Heavy Anti-Capital Ship Ion Cannons</c>\n\n<b>Type:</b> Weapon (takes 1 special slot, you can build only one battery per ship)\n<c=ff1919>Damage: 16000 x 4\nRoF: 16 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 95 s\nMaintenance: 60 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n400 Experience Points</c>\n\n<b>Description:</b> Anti-Capital Ship weapon
11008	Heavy Ion Cannon (SET)
11009	Uses 6 special slot\n\n<b>Armament Set</b>\n<c=ff1919>6 Anti-Frigate/Capital Ship Ion Turrets</c>\n\n<c=ff1919>Damage: 15000 (per unit)\nRoF: 15 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 250 s\nMaintenance: 90 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship weapon set
11010	Heavy Mine Layer (SET)
11011	Uses 1 Special slot\n\n<b>Armament Set</b>\n<c=ff1919>6 Anti-Capital Ship Mine Layer Turrets</c>\n\n<c=ff1919>Damage: 14000 x 2 (per unit)\nRoF: 35 s\nRange: 6000 m</c>\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 300 s\nMaintenance: 120 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship weapon set
11012	Ripwave Bomb Launcher
11013	Uses 1 Special slot\n\n<b>Armament</b>\n<c=ff1919>Long-Range Anti-Capital Ship Bomb Launching Turret</c>\n<c=ff1919>Damage: 375000\nRoF: 130 s\nRange: 21000 m</c>\n\n<c=9d9ddf>Cost: 8000 RUs\nBuild Time: 350 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship weapon (to fire press the Z key or the related command icon)
11014	Uses 1 Special slot\n\n<b>Armament</b>\n<c=ff1919>Long-Range Anti-Capital Ship Bomb Launching Turret</c>\n<c=ff1919>Damage: 150000\nRoF: 130 s\nRange: 12000 m</c>\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 250 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship weapon (to fire press the Z key or the related command icon)
// 11015	<b>Armament</b>\n<c=ff1919>1 Long-Range Anti-Capital Ship Ripwave Bomb Turret</c>\n\n<b>Type:</b> Weapon (takes 1 special slots)\n<c=ff1919>Damage: 150000\nRoF: 130 s\nRange: 12000 m</c>\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 250 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship weapon (to fire press the Z key or the related command icon)
11016	Uses 1 Special slot\n\n<c=ff1919>Damage: 135000\nRoF: 140 s\nRange: 9500 m</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 65 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship weapon
11017	Heavy Mine Turret
// 11018	<blank>
// 11018	<blank>
// 11019	<blank>
11020	AM Fast-Tracking Turret
11021	<b>Armament Set</b>2 Anti-Missile Fast-Tracking Turret\n\n<b>Type:</b> Weapon (takes 1 special slots)\n<c=ff1919>Damage: 130\nRoF: 10 s\nRange: 8000 m</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 50 s\nMaintenance: 25 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Anti-Munition Turret
11022	Rapid Sweeper (SET)
11023	Uses 4 Special slot\n\n<b>Armament Set</b>\n<c=ff1919>4 Anti-Fighter/Corvette turrets</c>\n\n<c=ff1919>Damage: 75 (per unit)\nRoF: 0.8 s\nRange: 1900 m</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 80 s\nMaintenance: 40 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\nDefense Facility (on board)</c>\n\n<b>Description:</b> Anti-Fighter/Corvette weapon set
11024	Uses 8 Special slot\n\n<b>Armament Set</b>\n<c=ff1919>8 Anti-Fighter/Corvette turrets</c>\n\n<<c=ff1919>Damage: 75 (per unit)\nRoF: 0.8 s\nRange: 1900 m</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 100 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Anti-Fighter/Corvette weapon set
11025	Torpedo Launcher
11026	Uses 1 Special slot\n\n<c=ff1919>Damage: 750\nRoF: 10 s\nRange: 3900 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s\nMaintenance: 15 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Anti-Corvette/Frigate weapon
11027	Uses 1 Special slot\n\n<c=ff1919>Damage: 900 x 6\nRoF: 16 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon
// 11028	Uses 1 Special slot\n\n<c=ff1919>Damage: 900 x 6\nRoF: 16 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon
// 11029	Uses 1 Special slot\n\n<c=ff1919>Damage: 900 x 6\nRoF: 16 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon
// 11030	Uses 1 Special slot\n\n<c=ff1919>Damage: 900 x 6\nRoF: 16 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship weapon
11031	Light Asset
11032	<b>Armament Set</b>\n<c=ff1919>12 Tandem Kinetic Cannon Turrets</c>\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\n+10% Speed\n+10% Drive</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Description:</b> Light Combat Asset; provides standard anti-frigate weapons and improves mobility
11033	Standard Asset
11034	<b>Armament Set</b>\n<c=ff1919>12 Tri Heavy Kinetic Cannon Turrets\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Description:</b> Standard Combat Asset; provides better anti-frigate and light anti-capital weaponry
11035	Heavy Asset
11036	<b>Armament Set</b>\n<c=ff1919>12 Hex Heavy Kinetic Cannon Turrets</c>\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\n+10% Health\n+5% Weapon Damage\n+5% Weapon Aim</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 20 s</c>\n\n<b>Description:</b> Heavy Combat Asset; provides the best anti-frigate and anti-capital ship weaponry
11037	Hex Heavy Kinetic Cannon
11038	Uses 1 Special slot\n\n<c=ff1919>Damage: 650 x 6\nRoF: 12 s\nRange: 6500 m</c>\n\n<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 70 s\nMaintenance: 20 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Turret
11039	Uses 1 Special slot\n\n<c=ff1919>Damage: 1050 x 6\nRoF: 8 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Turret
11040	Uses 1 Special slot\n\n<c=ff1919>Damage: 1050 x 6\nRoF: 8 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s\nMaintenance: 10 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n300 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship weapon
11046	Heavy Ion Cannon
11047	Uses 1 Special slot\n\n<c=ff1919>Damage: 15000 x 2\nRoF: 15 s\nRange: 6700 m</c>\n\n<c=9d9ddf>Cost: 1900 RUs\nBuild Time: 90 s\nMaintenance: 30 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Turret
11048	Uses 1 Special slot\n\n<c=ff1919>Damage: 9000\nRoF: 15 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 65 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Turret
11049	Uses 1 Special slot\n\n<c=ff1919>Damage: 20000\nRoF: 13 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 65 s\nMaintenance: 15 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n300 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Turret
11050	Uses 1 Special slot\n\n<c=ff1919>Damage: 30000\nRoF: 15 s\nRange: 9000 m</c>\n\n<c=9d9ddf>Cost: 1900 RUs\nBuild Time: 85 s\nMaintenance: 15 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n400 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Turret
11056	Long-Range Autogun
11057	Uses 1 Special slot\n\n<c=ff1919>Damage: 30\nRoF: 0.3 s\nRange: 12600 m</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 35 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Advanced Fire Suppressor; rapid-fire, low damage turret
11058	Long-Range Heavy Kinetic Cannon
11059	Uses 1 Special slot\n\n<c=ff1919>Damage: 525 x 6\nRoF: 8 s\nRange: 30000 m</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Frigate turret; able to hit targets from a considerable distance away with good accuracy
11060	Long-Range Ripwave Bomb Launcher
11061	Uses 1 Special slot\n\n<c=ff1919>Damage: 67500\nRoF: 140 s\nRange: 40000 m</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 65 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship turret, able to hit targets from a considerable distance away with good accuracy
11062	Artillery Cannon
11063	Uses 1 Special slot\n\n<c=ff1919>Damage: 7500 x 2\nRoF: 24 s\nRange: 50000 m</c>\n\n<c=9d9ddf>Cost: 1800 RUs\nBuild Time: 75 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Long-Range Anti-Capital Ship turret
11064	Tri Heavy Kinetic Cannon
11065	Uses 1 Special slot\n\n<c=ff1919>Damage: 1050 x 3\nRoF: 12 s\nRange: 7500 m</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 45 s\nMaintenance: 10 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\n200 Experience Points</c>\n\n<b>Description:</b> Advanced Anti-Frigate turret
11066	Hyperspace Sensors
11067	Only 1 enhanced sensor system per ship\n\n<c=9d9ddf>Cost: 250 RUs\nBuild Time: 35 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Hyperspace Module</c>\n\n<b>Description:</b> Detects incoming enemy hyperspace signatures within a limited radius around the carrier ship
11068	Advanced Sensor Array
11069	Only 1 enhanced sensor system per ship\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\n+100% Sensors Range</c>\n\n<c=9d9ddf>Cost: 250 RUs\nBuild Time: 35 s\nMaintenance: 5 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Sensor upgrades</c>\n\n<b>Description:</b> Improves basic sensors
11070	Anti-Cloaking Sensors
11071	Only 1 enhanced sensor system per ship\n\n<c=9d9ddf>Cost: 250 RUs\nBuild Time: 35 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Cloak Generator</c>\n\n<b>Description:</b> Improves deteection ability against cloaked ships
11072	Communications Facility
11073	<b>Features</b>\n<c=ffbb19>Sensor Ping\nHyperspace (5000 m)\nSensor Distortion (6000 m)</c>\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\n+100% Sensor range\n+300% Anti-Cloaking Sensor Range\n+300% Visual range</c>\n\n<b>Type:</b> Sensor (takes 1 special slot)\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 90 s\nMaintenance: 100 RUs/year</c>\n\n<b>Description:</b> System improver and enables several abilities
11074	Engine Boost 1
11075	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Engine final Boost lvl. 1, improves engine power (+100%), can be activated at about 55 m/s, to work properly needs a few amount of additional energy (-3), Mothership, Research/Crew/Power/Weapon Stations must be docked to the Gujking Shipyard
11076	Engine Boost 2
11077	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Engine final Boost lvl. 2, improves engine power (+200%), can be activated at about 105 m/s, to work properly needs additional energy (-6), Mothership, Research/Crew/Power/Weapon Stations must be docked to the Gujking Shipyard
11078	Engine Boost 3
11079	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Engine final Boost lvl. 3, improves engine power (+300%), can be activated at about 212 m/s, to work properly needs additional energy (-9), Mothership, Research/Crew/Power/Weapon Stations must be docked to the Gujking Shipyard
11080	Engine Boost
11081	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Engine final Boost, improves engine power (+300%), to work properly requires additional energy (-3)
11082	Toroidal Magnet
